Coordinates,Province,Address
"50.9833, -119.7333",BC,"Adams Lake Provincial Park, Adams Lake, BC V0E 1M2, Canada"
"49.0548, -114.1337",BC,"Akamina-Kishinena Provincial Park, Kootenay Boundary E, BC V0B 1H0, Canada"
"49.7744, -121.4222",BC,"Alexandra Bridge Provincial Park, Fraser Valley, BC V0K 1C0, Canada"
"54.0167, -122.0667",BC,"Aleza Lake Ecological Reserve, Fraser-Fort George G, BC V0J 3A3, Canada"
"49.7683, -123.1336",BC,"Alice Lake Provincial Park, Squamish, BC V0N 1T0, Canada"
"51.1314, -127.4342",BC,"Allison Harbour Marine Provincial Park, Mount Waddington A, BC V0N 3K0, Canada"
"49.7094, -120.7969",BC,"Allison Lake Provincial Park, Princeton, BC V0X 1W0, Canada"
"53.7433, -128.9333",BC,"Alty Conservancy, Central Coast A, BC V0T 1A0, Canada"
"50.4000, -126.8500",BC,"Ambrose Lake Ecological Reserve, qathet Regional District, BC, Canada"
"49.0125, -119.3194",BC,"Anarchist Protected Area, Okanagan-Similkameen, BC V0H 1T0, Canada"
"53.8886, -121.8375",BC,"Ancient Forest Provincial Park and Protected Area, Fraser-Fort George H, BC V0K 2Z0, Canada"
"49.6211, -124.0250",BC,"Anderson Bay Provincial Park, Powell River, BC V8A 0G3, Canada"
"55.5333, -127.6833",BC,"Anderson Flats Provincial Park, Kitimat-Stikine E, BC V0J 1Y0, Canada"
"49.6833, -126.6000",BC,"Anne Vallee Ecological Reserve, Mount Waddington A, BC V0N 3J0, Canada"
"50.9833, -119.0828",BC,"Anstey-Hunakwa Provincial Park, Columbia-Shuswap B, BC V0E 2V0, Canada"
"49.3833, -123.3167",BC,"Apodaca Provincial Park, Bowen Island, BC V0N 1G2, Canada"
"49.2439, -124.7939",BC,"Arbutus Grove Provincial Park, Parksville, BC V9P 1X7, Canada"
"56.1600, -125.6730",BC,"Arctic Pacific Lakes Provincial Park, Fraser-Fort George E, BC V0J 2Z0, Canada"
"50.4183, -117.9117",BC,"Arrow Lakes Provincial Park, Nakusp, BC V0G 1R0, Canada"
"50.874645, -121.275997",BC,"Arrowstone Provincial Park, Thompson-Nicola P, BC V0K 1H0, Canada"
"49.977, -126.967",BC,"Artlish Caves Provincial Park, Mount Waddington B, BC V0N 2N0, Canada"
"59.5661, -133.7201",BC,"Atlin Provincial Park, Stikine Region, BC V0W 1A0, Canada"
"58.175, -129.145",BC,"Atna River Provincial Park, Stikine Region, BC V0J 1E0, Canada"
"54.7667, -126.75",BC,"Babine Lake Marine Provincial Park, Bulkley-Nechako, BC V0J 1E0, Canada"
"55.050, -126.833",BC,"Babine Mountains Provincial Park, Smithers, BC V0J 2N0, Canada"
"55.283, -127.417",BC,"Babine River Corridor Provincial Park, Hazelton, BC V0J 1Y0, Canada"
"48.829, -123.283",BC,"Baeria Rocks Ecological Reserve, Central Coast, BC V0N 1A0, Canada"
"48.900, -123.583",BC,"Ballingall Islets Ecological Reserve, North Cowichan, BC V0R 2C2, Canada"
"48.589, -123.515",BC,"Bamberton Provincial Park, Mill Bay, BC V0R 2P4, Canada"
"50.667, -121.933",BC,"Banana Island Provincial Park, Thompson-Nicola, BC V0E 1M0, Canada"
"54.683, -129.667",BC,"Banks Nii _uutiksm Conservancy, Mount Waddington, BC V0T 1Z0, Canada"
"49.150, -123.600",BC,"Baynes Island Ecological Reserve, Bulkley-Nechako, BC V0J 1E0, Canada"
"49.888, -119.533",BC,"Bear Creek Provincial Park, Kelowna, BC V1Z 3W6, Canada"
"56.050, -129.950",BC,"Bear Glacier Provincial Park, Kitimat-Stikine, BC V0J 2J0, Canada"
"53.100, -128.200",BC,"Bear Island Conservancy, Mount Waddington, BC V0P 1A0, Canada"
"55.650, -121.567",BC,"Bearhole Lake Provincial Park and Protected Area, Peace River, BC V0C 1V0, Canada"
"56.283, -120.800",BC,"Beatton Provincial Park, Fort St John, BC V1J 4M6, Canada"
"56.350, -120.800",BC,"Beatton River Provincial Park, Peace River, BC V0C 1V0, Canada"
"54.016, -125.667",BC,"Beaumont Provincial Park, Fraser Lake, BC V0J 1S0, Canada"
"50.520, -127.367",BC,"Beaver Creek Provincial Park, Trail, BC V1R 4X2, Canada"
"48.800, -123.417",BC,"Beaver Point Provincial Park, Salt Spring Island, BC V8K 1X4, Canada"
"49.600, -116.533",BC,"Beaver Valley Provincial Park, Okanagan-Similkameen, BC V0X 1W0, Canada"
"52.800, -121.283",BC,"Bechers Prairie Provincial Park, Bulkley-Nechako, BC V0J 1E0, Canada"
"49.850, -119.433",BC,"Bedard Aspen Provincial Park, Cariboo, BC V0L 1C0, Canada"
"53.950, -123.217",BC,"Bednesti Lake Ecological Reserve, Fraser-Fort George, BC V0J 3A3, Canada"
"52.383, -126.750",BC,"Bella Coola Estuary Conservancy, Central Coast, BC V0T 1C0, Canada"
"48.872, -123.322",BC,"Bellhouse Provincial Park, Galiano Island, BC V0N 1P0, Canada"
"52.900, -131.383",BC,"Beresford Island Ecological Reserve, Mount Waddington, BC V0N 2N0, Canada"
"51.333, -121.883",BC,"Big Bar Lake Provincial Park, Clinton, BC V0K 1K0, Canada"
"55.600, -128.867",BC,"Big Basin Provincial Park, Thompson-Nicola, BC V0K 1K0, Canada"
"50.200, -127.683",BC,"Big Bunsby Marine Provincial Park, Mount Waddington, BC V0N 2P0, Canada"
"51.083, -123.317",BC,"Big Creek Ecological Reserve, Cariboo, BC V0L 1C0, Canada"
"51.116, -123.283",BC,"Big Creek Provincial Park, Thompson-Nicola, BC V0K 1K0, Canada"
"49.737, -118.926",BC,"Big White Mountain Ecological Reserve, Kootenay Boundary, BC V0H 1A0, Canada"
"54.617, -122.583",BC,"Bijoux Falls Provincial Park, Fraser-Fort George H, BC V0J 2N0, Canada"
"50.583, -122.833",BC,"Birkenhead Lake Provincial Park, D'Arcy, BC V0N 1L0, Canada"
"53.217, -128.833",BC,"Bishop Bay-Monkey Beach Conservancy, Kitimat-Stikine, BC V0J 2J0, Canada"
"53.217, -128.750",BC,"Bishop Bay-Monkey Beach Corridor Conservancy, Kitimat-Stikine, BC V0J 2J0, Canada"
"51.550, -125.967",BC,"Bishop River Provincial Park, Mount Waddington, BC V0N 2P0, Canada"
"50.083, -122.950",BC,"Blackcomb Glacier Provincial Park, Whistler, BC V0N 1B4, Canada"
"54.317, -124.817",BC,"Blackwater Creek Ecological Reserve, Thompson-Nicola, BC V0E 1M0, Canada"
"50.933, -118.117",BC,"Blanket Creek Provincial Park, Revelstoke, BC V0E 2S0, Canada"
"49.633, -126.517",BC,"Bligh Island Marine Provincial Park, Strathcona, BC V0P 1G0, Canada"
"57.633, -130.417",BC,"Blue/Dease Rivers Ecological Reserve, Stikine Region, BC V0C 1E0, Canada"
"50.317, -121.333",BC,"Blue Earth Lake Provincial Park, Thompson-Nicola, BC V0E 1M0, Canada"
"52.116, -119.333",BC,"Blue River Black Spruce Provincial Park, Thompson-Nicola, BC V0E 1J0, Canada"
"52.083, -119.267",BC,"Blue River Pine Provincial Park, Thompson-Nicola, BC V0E 1J0, Canada"
"53.717, -123.083",BC,"Bobtail Mountain Provincial Park, Fraser-Fort George, BC V0J 3A3, Canada"
"55.917, -122.517",BC,"Bocock Peak Provincial Park, Peace River, BC V0C 1V0, Canada"
"48.966, -123.616",BC,"Bodega Ridge Provincial Park, Galiano Island, BC V0N 1P0, Canada"
"51.250, -121.250",BC,"Bonaparte Provincial Park, Thompson-Nicola, BC V0K 1K0, Canada"
"49.467, -117.283",BC,"Boothmans Oxbow Provincial Park, Fraser-Fort George, BC V0J 2N0, Canada"
"56.767, -130.933",BC,"Border Lake Provincial Park, Peace River, BC V0C 1V0, Canada"
"51.600, -126.833",BC,"Boulder Creek Provincial Park, Fraser Valley, BC V0M 1A0, Canada"
"49.083, -118.650",BC,"Boundary Creek Provincial Park, Kootenay Boundary, BC V0H 1H0, Canada"
"49.367, -123.383",BC,"Bowen Island Ecological Reserve, Bowen Island, BC V0N 1G2, Canada"
"53.050, -121.083",BC,"Bowron Lake Provincial Park, Cariboo, BC V0K 2J0, Canada"
"50.600, -127.583",BC,"Bowser Ecological Reserve, Comox Valley, BC V0R 1G0, Canada"
"49.512, -124.709",BC,"Boyle Point Provincial Park and Protected Area, Denman Island, BC V0R 1T0, Canada"
"49.782, -123.162",BC,"Brackendale Eagles Provincial Park, Squamish, BC V0N 1T0, Canada"
"50.006, -123.119",BC,"Brandywine Falls Provincial Park, Whistler, BC V0N 1B0, Canada"
"49.514, -119.264",BC,"Brent Mountain Protected Area, Okanagan-Similkameen, BC V0X 1N0, Canada"
"49.193, -121.681",BC,"Bridal Veil Falls Provincial Park, Fraser Valley, BC V0X 1X0, Canada"
"51.569, -120.859",BC,"Bridge Lake Provincial Park, Cariboo, BC V0K 1E0, Canada"
"50.983, -123.300",BC,"Bridge River Delta Provincial Park, Squamish-Lillooet, BC V0N 1L0, Canada"
"55.867, -129.983",BC,"Brim River Hot Springs Protected Area, Kitimat-Stikine, BC V0J 2J0, Canada"
"49.356, -120.024",BC,"Bromley Rock Provincial Park, Okanagan-Similkameen, BC V0X 1N0, Canada"
"49.923, -119.236",BC,"Browne Lake Ecological Reserve, Central Okanagan, BC V0E 2G0, Canada"
"49.915, -119.222",BC,"Browne Lake Provincial Park, Central Okanagan, BC V0E 2G0, Canada"
"50.780, -126.785",BC,"Broughton Archipelago Provincial Park, Mount Waddington, BC V0N 2P0, Canada"
"50.783, -126.783",BC,"Broughton Archipelago Conservancy, Mount Waddington, BC V0N 2P0, Canada"
"49.551, -123.967",BC,"Buccaneer Bay Provincial Park, Sunshine Coast, BC V0N 2W0, Canada"
"50.833, -121.500",BC,"Buck Hills Road Ecological Reserve, Thompson-Nicola, BC V0K 1K0, Canada"
"57.433, -122.738",BC,"Buckinghorse River Wayside Provincial Park, Peace River, BC V0C 1V0, Canada"
"50.716, -116.750",BC,"Bugaboo Provincial Park, East Kootenay, BC V0A 1T0, Canada"
"54.683, -126.833",BC,"Bulkley Junction Provincial Park, Bulkley-Nechako, BC V0J 1E0, Canada"
"52.000, -123.083",BC,"Bull Canyon Provincial Park, Cariboo, BC V0L 1H0, Canada"
"50.907, -126.639",BC,"Burdwood Group Conservancy, Mount Waddington, BC V0N 3J0, Canada"
"51.338, -116.574",BC,"Burges James Gadsden Provincial Park, Columbia-Shuswap, BC V0A 1E0, Canada"
"48.807, -123.508",BC,"Burgoyne Bay Provincial Park, Salt Spring Island, BC V8K 2B6, Canada"
"54.216, -127.700",BC,"Burnie-Shea Provincial Park, Kitimat-Stikine, BC V0J 2J0, Canada"
"54.216, -125.766",BC,"Burns Lake Provincial Park, Bulkley-Nechako, BC V0J 1E0, Canada"
"52.502, -127.620",BC,"Burnt Bridge Creek Conservancy, North Coast, BC V0T 1S0, Canada"
"50.608, -126.859",BC,"Burnt Cabin Bog Ecological Reserve, Bulkley-Nechako, BC V0J 1E0, Canada"
"50.774, -120.011",BC,"Buse Lake Protected Area, Thompson-Nicola, BC V0E 2P0, Canada"
"56.027, -121.647",BC,"Butler Ridge Provincial Park, Peace River, BC V0C 1J0, Canada"
"53.083, -129.267",BC,"Byers/Conroy/Harvey/Sinnett Islands Ecological Reserve, Central Coast, BC V0T 1A0, Canada"
"54.600, -128.150",BC,"Caligata Lake Provincial Park, Thompson-Nicola, BC V0K 1K0, Canada"
"54.171, -126.654",BC,"Call Lake Provincial Park, Smithers, BC V0J 2N0, Canada"
"50.233, -123.167",BC,"Callaghan Conservancy, Whistler, BC V0N 1B1, Canada"
"50.216, -123.183",BC,"Callaghan Lake Provincial Park, Whistler, BC V0N 1B1, Canada"
"51.634, -128.121",BC,"Calvert Island Conservancy, Central Coast, BC V0N 1A0, Canada"
"50.250, -119.283",BC,"Campbell Brown (Kalamalka Lake) Ecological Reserve, North Okanagan, BC V1B 2E1, Canada"
"51.778, -120.907",BC,"Canim Beach Provincial Park, Cariboo, BC V0K 1M0, Canada"
"50.607, -126.753",BC,"Canoe Islets Ecological Reserve, Mount Waddington, BC V0N 3J0, Canada"
"50.766, -128.300",BC,"Cape Scott Provincial Park, Mount Waddington, BC V0N 3P0, Canada"
"52.133, -121.717",BC,"Cardiff Mountain Ecological Reserve, North Okanagan, BC V1B 2E1, Canada"
"52.633, -120.817",BC,"Cariboo Mountains Provincial Park, Cariboo, BC V0K 2J0, Canada"
"52.933, -123.250",BC,"Cariboo Nature Provincial Park, Cariboo, BC V0K 2J0, Canada"
"52.967, -120.967",BC,"Cariboo River Provincial Park, Cariboo, BC V0K 2J0, Canada"
"48.651, -124.670",BC,"Carmanah Walbran Provincial Park, Capital, BC V0R 2Y0, Canada"
"54.600, -123.483",BC,"Carp Lake Provincial Park, Fraser-Fort George, BC V0J 3S0, Canada"
"51.433, -127.950",BC,"Carter Bay Conservancy, Central Coast, BC V0T 1B0, Canada"
"49.225, -121.240",BC,"Cascade-Sutslem Conservancy, Fraser Valley, BC V0X 1X0, Canada"
"51.416, -121.438",BC,"Castle Rock Hoodoos Provincial Park, Thompson-Nicola, BC V0E 1M0, Canada"
"49.916, -127.733",BC,"Catala Island Marine Provincial Park, Strathcona, BC V0P 1G0, Canada"
"49.116, -120.257",BC,"Cathedral Provincial Park and Protected Area, Okanagan-Similkameen, BC V0X 1N0, Canada"
"50.783, -120.083",BC,"Catherine Creek Ecological Reserve, Mount Waddington, BC V0N 2N0, Canada"
"52.550, -128.650",BC,"Catto Creek Conservancy, North Coast, BC V0T 1S0, Canada"
"56.400, -120.233",BC,"Cecil Lake Ecological Reserve, Peace River, BC V0C 1G0, Canada"
"52.433, -122.433",BC,"Cedar Point Provincial Park, Cariboo, BC V0K 2Z0, Canada"
"50.482, -126.357",BC,"Cetan/Thurston Bay Conservancy, Mount Waddington, BC V0N 3J0, Canada"
"49.166, -117.533",BC,"Champion Lakes Provincial Park, Kootenay Boundary, BC V1R 1Y0, Canada"
"50.533, -120.600",BC,"Charlie Cole Creek Ecological Reserve, Bulkley-Nechako, BC V0J 1E0, Canada"
"56.289, -120.857",BC,"Charlie Lake Provincial Park, Peace River, BC V1J 4M6, Canada"
"50.820, -119.688",BC,"Chase Provincial Park, Thompson-Nicola, BC V0E 1M0, Canada"
"51.333, -121.533",BC,"Chasm Ecological Reserve, Thompson-Nicola, BC V0K 1K0, Canada"
"51.366, -121.533",BC,"Chasm Provincial Park, Thompson-Nicola, BC V0K 1K0, Canada"
"50.150, -127.533",BC,"Checleset Bay Ecological Reserve, Mount Waddington, BC V0N 2N0, Canada"
"48.833, -123.767",BC,"Chemainus River Provincial Park, Cowichan Valley, BC V0R 2E0, Canada"
"50.283, -121.017",BC,"Chickens Neck Mountain Ecological Reserve, Bulkley-Nechako, BC V0J 1E0, Canada"
"53.783, -123.183",BC,"Chilako River Ecological Reserve, Fraser-Fort George, BC V0J 3A3, Canada"
"49.0660, -121.8500",BC,"Chilliwack River Ecological Reserve, Fraser Valley, BC V0X 1X0, Canada"
"49.1100, -121.9500",BC,"Chilliwack River Provincial Park, Fraser Valley, BC V0X 1X0, Canada"
"56.9333, -131.8333",BC,"Choquette Hot Springs Provincial Park, Stikine Region, BC V0C 1E0, Canada"
"49.0400, -118.2100",BC,"Christina Lake Provincial Park, Kootenay Boundary, BC V0H 1E0, Canada"
"51.0667, -120.1667",BC,"Chu Chua Cottonwood Provincial Park, Thompson-Nicola, BC V0E 1M0, Canada"
"56.6344, -129.2097",BC,"Chukachida River Protected Area, Stikine Region, BC V0C 1E0, Canada"
"53.8000, -128.9000",BC,"Chunamon Creek Ecological Reserve, Fraser-Fort George, BC V0J 3A3, Canada"
"51.0000, -122.4000",BC,"Churn Creek Protected Area, Cariboo, BC V0L 1C0, Canada"
"54.4000, -122.6000",BC,"Cinema Bog Ecological Reserve, Thompson-Nicola, BC V0K 1E0, Canada"
"50.9500, -119.1000",BC,"Cinnemousun Narrows Provincial Park, Columbia-Shuswap, BC V0E 1M0, Canada"
"50.8333, -126.9167",BC,"Clanninick Creek Ecological Reserve, Bulkley-Nechako, BC V0J 1E0, Canada"
"50.4667, -126.7167",BC,"Claud Elliott Creek Ecological Reserve, Mount Waddington, BC V0N 2N0, Canada"
"50.4500, -126.7000",BC,"Claud Elliott Provincial Park, Mount Waddington, BC V0N 2N0, Canada"
"56.8667, -120.7167",BC,"Clayhurst Ecological Reserve, Peace River, BC V0C 1A0, Canada"
"49.2550, -125.5786",BC,"Clayoquot Arm Provincial Park, Alberni-Clayoquot, BC V0R 2Z0, Canada"
"49.2875, -125.8125",BC,"Clayoquot Plateau Provincial Park, Alberni-Clayoquot, BC V0R 2Z0, Canada"
"52.3667, -126.5833",BC,"Clayton Falls Conservancy, Central Coast, BC V0T 1A0, Canada"
"49.1583, -126.0056",BC,"Cleland Island Ecological Reserve, BC, Canada"
"50.4000, -123.4667",BC,"Clendinning Provincial Park, BC, Canada"
"53.4333, -124.1333",BC,"Close To The Edge Provincial Park and Protected Area, BC, Canada"
"52.2700, -127.8800",BC,"Clyak Estuary Conservancy, BC, Canada"
"52.2450, -128.1330",BC,"Codville Lagoon Conservancy, BC, Canada"
"52.2550, -128.1167",BC,"Codville Lagoon Marine Provincial Park, BC, Canada"
"49.6833, -116.9333",BC,"Cody Caves Provincial Park, BC, Canada"
"49.7667, -120.9333",BC,"Coldwater River Provincial Park, BC, Canada"
"48.8250, -123.4306",BC,"Collinson Point Provincial Park, BC, Canada"
"50.2333, -115.8000",BC,"Columbia Lake Ecological Reserve, BC, Canada"
"50.2000, -115.8000",BC,"Columbia Lake Provincial Park, BC, Canada"
"49.5981, -125.1042",BC,"Comox Lake Bluffs Ecological Reserve, BC, Canada"
"49.2044, -119.0278",BC,"Conkle Lake Provincial Park, BC, Canada"
"50.0167, -124.8333",BC,"Copeland Islands Marine Provincial Park, BC, Canada"
"57.0000, -130.0000",BC,"Copper Johnny Provincial Park, BC, Canada"
"49.3667, -121.4333",BC,"Coquihalla Canyon Provincial Park, BC, Canada"
"49.5000, -121.3333",BC,"Coquihalla River Provincial Park, BC, Canada"
"49.5500, -121.0000",BC,"Coquihalla Summit Recreation Area, BC, Canada"
"50.6639, -126.8072",BC,"Cormorant Channel Marine Provincial Park, BC, Canada"
"50.6000, -120.7167",BC,"Cornwall Hills Provincial Park, BC, Canada"
"50.2167, -125.3167",BC,"Coste Rocks Provincial Park, BC, Canada"
"53.9667, -122.4500",BC,"Cottonwood River Provincial Park, BC, Canada"
"50.2156, -119.3514",BC,"Cougar Canyon Ecological Reserve, BC, Canada"
"48.7500, -123.6167",BC,"Cowichan River Provincial Park, BC, Canada"
"51.0333, -121.7500",BC,"Crab Lake Conservancy, BC, Canada"
"57.0783, -127.6636",BC,"Craig Headwaters Protected Area, BC, Canada"
"52.4750, -128.5633",BC,"Cranstown Point Conservancy, BC, Canada"
"49.0167, -125.4000",BC,"Crater Lake Provincial Park, BC, Canada"
"54.5833, -123.0833",BC,"Crooked River Provincial Park, BC, Canada"
"49.6500, -114.6167",BC,"Crowsnest Provincial Park, BC, Canada"
"49.0333, -122.0167",BC,"Cultus Lake Provincial Park, BC, Canada"
"51.9500, -117.2000",BC,"Cummins Lakes Provincial Park and Protected Area, BC, Canada"
"49.3981, -123.2033",BC,"Cypress Provincial Park, BC, Canada"
"54.0833, -133.0333",BC,"Daawuuxusda Conservancy, BC, Canada"
"53.9000, -123.4000",BC,"Dahl Lake Provincial Park, BC, Canada"
"53.0167, -128.1333",BC,"Dala-Kildala Rivers Estuaries Provincial Park, BC, Canada"
"58.1667, -130.1667",BC,"Dall River Old Growth Provincial Park, BC, Canada"
"53.8667, -129.9167",BC,"Damaxyaa Conservancy, BC, Canada"
"56.7167, -129.9500",BC,"Damdochax Protected Area, BC, Canada"
"57.3500, -130.8000",BC,"Dantes Inferno Provincial Park, BC, Canada"
"49.9000, -119.8667",BC,"Darke Lake Provincial Park, BC, Canada"
"49.2833, -122.3533",BC,"Davis Lake Provincial Park, BC, Canada"
"50.6500, -127.3667",BC,"Dawley Passage Provincial Park, BC, Canada"
"48.6667, -123.4667",BC,"Dead Mans Island Provincial Park, BC, Canada"
"52.4167, -126.9500",BC,"Dean River Conservancy, BC, Canada"
"52.4667, -126.8333",BC,"Dean River Corridor Conservancy, BC, Canada"
"57.5000, -126.9167",BC,"Denetiah Provincial Park and Protected Area, BC, Canada"
"57.7833, -130.9000",BC,"Denison-Bonneau Provincial Park, BC, Canada"
"49.5333, -124.8167",BC,"Denman Island Park and Protected Area, BC, Canada"
"50.1500, -124.8000",BC,"Desolation Sound Marine Provincial Park, BC, Canada"
"53.0000, -129.1667",BC,"Det San Ecological Reserve, BC, Canada"
"53.0500, -129.2833",BC,"Dewdney and Glide Islands Ecological Reserve, BC, Canada"
"54.2833, -130.3167",BC,"Diana Lake Provincial Park, BC, Canada"
"48.9333, -123.5833",BC,"Dionisio Point Provincial Park, BC, Canada"
"48.4167, -123.2667",BC,"Discovery Island Marine Provincial Park, BC, Canada"
"50.3833, -127.8333",BC,"Dixie Cove Marine Provincial Park, BC, Canada"
"52.0500, -122.2833",BC,"Doc English Bluff Ecological Reserve, BC, Canada"
"55.2500, -124.4833",BC,"Donnely Lake Provincial Park, BC, Canada"
"51.2167, -121.3167",BC,"Downing Provincial Park, BC, Canada"
"52.9333, -122.4000",BC,"Dragon Mountain Provincial Park, BC, Canada"
"49.8333, -119.6667",BC,"Drewry Point Provincial Park, BC, Canada"
"54.4500, -127.6000",BC,"Driftwood Canyon Provincial Park, BC, Canada"
"53.8167, -131.8500",BC,"Drizzle Lake Ecological Reserve, BC, Canada"
"49.1333, -123.7333",BC,"Drumbeg Provincial Park, BC, Canada"
"50.6000, -115.9922",BC,"Dry Gulch Provincial Park, BC, Canada"
"53.0667, -122.0167",BC,"Drywilliam Lake Ecological Reserve, BC, Canada"
"53.2500, -122.5667",BC,"Duck Lake Protected Area, BC, Canada"
"50.4694, -122.3231",BC,"Duffey Lake Provincial Park, BC, Canada"
"52.7833, -127.4833",BC,"Duke of Edinburgh Ecological Reserve, BC, Canada"
"57.7069, -127.6636",BC,"Dune Za Keyih Provincial Park and Protected Area, BC, Canada"
"51.5469, -120.0222",BC,"Dunn Peak Protected Area, BC, Canada"
"53.3833, -132.6667",BC,"Duu Guusd Heritage Site/Conservancy, BC, Canada"
"51.1667, -126.3833",BC,"Dzawadi/Klinaklini Estuary Conservancy, BC, Canada"
"51.3000, -126.1167",BC,"Dzawadi/Upper Klinaklini River Conservancy, BC, Canada"
"54.2167, -122.7500",BC,"Eagle Bay Provincial Park, BC, Canada"
"50.9667, -119.1667",BC,"Eagle River Provincial Park, BC, Canada"
"51.2083, -120.3694",BC,"Eakin Creek Canyon Provincial Park, BC, Canada"
"51.2000, -120.3667",BC,"Eakin Creek Floodplain Provincial Park, BC, Canada"
"55.7000, -121.0000",BC,"East Pine Provincial Park, BC, Canada"
"50.1500, -124.6333",BC,"East Redonda Island Ecological Reserve, BC, Canada"
"49.0697, -120.7833",BC,"E. C. Manning Provincial Park, BC, Canada"
"50.7500, -126.5000",BC,"Echo Bay Marine Provincial Park, BC, Canada"
"50.6167, -118.9500",BC,"Echo Lake Provincial Park, BC, Canada"
"53.6500, -129.6000",BC,"Ecstall Headwaters Conservancy, BC, Canada"
"53.6333, -129.6500",BC,"Ecstall-Sparkling Conservancy, BC, Canada"
"53.6167, -129.6667",BC,"Ecstall-Spokskuut Conservancy, BC, Canada"
"54.3667, -124.0000",BC,"Ed Bird-Estella Provincial Park, BC, Canada"
"51.0000, -121.5000",BC,"Edge Hills Provincial Park, BC, Canada"
"58.5000, -124.5000",BC,"Ekwan Lake Protected Area, BC, Canada"
"50.9500, -121.2667",BC,"Elephant Hills Provincial Park, BC, Canada"
"52.5000, -128.0000",BC,"Eleven Sisters Provincial Park, BC, Canada"
"50.0239, -125.3167",BC,"Elk Falls Provincial Park, BC, Canada"
"50.6167, -115.0833",BC,"Elk Lakes Provincial Park, BC, Canada"
"49.8667, -114.8333",BC,"Elk Valley Provincial Park, BC, Canada"
"54.2500, -128.5000",BC,"Ellerslie-Roscoe Conservancy, BC, Canada"
"49.2500, -123.6667",BC,"Ellis Island Ecological Reserve, BC, Canada"
"50.2606, -119.3442",BC,"Ellison Provincial Park, BC, Canada"
"54.0000, -122.6667",BC,"Emar Lakes Provincial Park, BC, Canada"
"54.1000, -128.6167",BC,"Emily Lake Conservancy, BC, Canada"
"49.4000, -115.0833",BC,"Elko Provincial Park, BC, Canada"
"49.3667, -121.4500",BC,"Emory Creek Provincial Park, BC, Canada"
"50.5333, -119.0167",BC,"Enderby Cliffs Provincial Park, BC, Canada"
"49.7667, -119.7667",BC,"Eneas Lakes Provincial Park, BC, Canada"
"55.4667, -124.5667",BC,"English Lake Provincial Park, BC, Canada"
"49.3167, -124.3167",BC,"Englishman River Falls Provincial Park, BC, Canada"
"53.7000, -125.3500",BC,"Entiako Provincial Park, BC, Canada"
"52.5000, -128.5000",BC,"Epper Passage Provincial Park, BC, Canada"
"50.6667, -121.7667",BC,"Epsom Provincial Park, BC, Canada"
"54.6667, -121.6833",BC,"Erg Mountain Provincial Park, BC, Canada"
"49.2333, -117.2333",BC,"Erie Creek Provincial Park, BC, Canada"
"54.0500, -123.2667",BC,"Eskers Provincial Park, BC, Canada"
"50.0833, -123.3167",BC,"Sigurd Creek Conservancy, BC, Canada"
"50.9333, -127.9500",BC,"Ethelda Bay-Tennant Island Conservancy, BC, Canada"
"54.1333, -125.5833",BC,"Ethel F. Wilson Memorial Provincial Park, BC, Canada"
"54.5667, -127.2000",BC,"Europa Lake Conservancy, BC, Canada"
"54.5667, -121.0000",BC,"Evanoff Provincial Park, BC, Canada"
"49.8167, -123.1667",BC,"Evans Lake Ecological Reserve, BC, Canada"
"50.3833, -125.8333",BC,"Eves Provincial Park, BC, Canada"
"54.2500, -128.8667",BC,"Exchamsiks River Provincial Park, BC, Canada"
"54.5333, -128.6667",BC,"Ferry Island Provincial Park, BC, Canada"
"54.4833, -126.6000",BC,"F.H. Barber Provincial Park, BC, Canada"
"54.4000, -128.7000",BC,"Fields Lease Ecological Reserve, BC, Canada"
"49.5167, -124.7667",BC,"Fillongley Provincial Park, BC, Canada"
