station_id,avg_summer_temperature,avg_winter_ temperature,avg_summer_ precipitation ,avg_winter_precipitation,coordinates
U1V2W3X4Y7,34,7,50,332,49.9333 -118.2167
Z7A8B9C0D2,35,5,78,451,56.8167 -130.2667
E1F2G3H4I7,23,4,100,123,52.7500 -125.3333
J7K8L9M0N2,36,6,200,321,52.9167 -119.4000
O1P2Q3R4S7,24,7,300,213,49.1333 -119.4500
T7U8V9W0X2,23,8,80,123,52.2167 -128.1500
Y1Z2A3B4C7,34,5,67,234,50.1167 -124.9333
D7E8F9G0H2,35,4,90,124,50.5000 -115.9833
I1J2K3L4M7,16,2,100,455,49.4833 -124.2167
N7O8P9Q0R2,23,3,50,356,52.5000 -128.2500
S1T2U3V4W7,34,6,78,35,49.1000 -118.6500
X7Y8Z9A0B2,34,9,100,64,49.4667 -115.7667
C1D2E3F4G7,35,2,200,160,50.3333 -122.4833
H7I8J9K0L2,23,7,300,356,49.0167 -119.2167
M1N2O3P4Q7,36,5,80,234,48.3667 -124.1167
R7S8T9U0V2,24,4,67,345,51.3833 -127.7000
W1X2Y3Z4A7,23,6,90,554,52.2500 -122.3333
B7C8D9E0F2,34,7,100,532,50.7500 -121.3333
G1H2I3J4K8,35,8,290,532,54.0500 -120.0833
L7M8N9O0P3,16,5,233,332,50.2336 -119.3244
Q1R2S3T4U8,29,4,70,343,54.0333 -131.7833
V7W8X9Y0Z3,38,7,89,234,52.6167 -127.1333
A2B3C4D5E8,27,10,89,234,53.6167 -129.7500
F7G8H9I0J3,27,8,90,124,50.1833 -119.3000
K2L3M4N5O8,29,10,39,455,53.9000 -130.3000
P7Q8R9S0T3,32,10,200,160,49.0500 -125.6500
U2V3W4X5Y8,23,7,300,356,49.1167 -125.4833
Z7A8B9C0D3,32,5,80,234,49.8833 -120.3000
E2F3G4H5I8,27,13,67,345,49.1833 -119.8500
J7K8L9M0N3,27,2,90,554,49.0833 -118.7333
O2P3Q4R5S8,34,3,100,532,54.6833 -129.8833
T7U8V9W0X3,32,5,290,532,54.6833 -130.1000
Y2Z3A4B5C8,26,3,233,332,54.7667 -130.1500
D7E8F9G0H3,30,1,70,343,54.7000 -130.0667
I2J3K4L5M8,32,3,89,234,54.3000 -130.3833
N7O8P9Q0R3,19,6,234,234,49.6667 -116.1667
S2T3U4V5W8,23,9,234,124,49.5667 -119.6167
X7Y8Z9A0B3,34,2,90,455,49.3000 -115.1833
C2D3E4F5G8,34,7,50,332,51.7667 -127.6833
H7I8J9K0L3,35,5,78,451,49.2500 -121.9333
M2N3O4P5Q8,23,4,100,123,52.6167 -127.7500
R7S8T9U0V3,36,6,200,321,49.7000 -124.9333
W2X3Y4Z5A8,24,7,300,213,57.5333 -129.6167
B7C8D9E0F3,23,8,80,123,51.0333 -125.9000
G2H3I4J5K8,34,5,67,234,50.9500 -126.1167
L7M8N9O0P4,35,4,90,124,50.5333 -119.1667
Q2R3S4T5U8,16,2,100,455,50.5667 -119.1167
V7W8X9Y0Z4,35,2,233,234,55.7500 -120.6333
A3B4C5D6E8,16,3,70,100,55.7833 -120.5000
F7G8H9I0J4,22,10,89,200,52.7333 -128.5000
K3L4M5N6O8,25,14,234,340,53.9833 -128.6333
P7Q8R9S0T4,24,10,234,450,54.0833 -130.3667
U3V4W5X6Y8,23,7,90,123,54.5000 -128.6667
Z7A8B9C0D4,36,6,50,321,49.7833 -124.9500
E3F4G5H6I8,34,2,78,213,55.0667 -128.0833
J7K8L9M0N4,19,3,100,123,48.7333 -124.6833
O3P4Q5R6S8,20,2,200,234,50.2000 -127.3667
T7U8V9W0X4,25,4,300,100,54.5167 -128.4333
Y3Z4A5B6C8,35,3,80,200,53.9667 -129.5000
D7E8F9G0H4,16,2,67,340,53.9333 -129.5000
I3J4K5L6M8,22,7,90,450,52.9500 -128.2667
N7O8P9Q0R4,25,5,100,560,55.8333 -122.5833
S3T4U5V6W8,24,4,20,500,58.8167 -124.6333
X7Y8Z9A0B4,32,6,10,450,53.5833 -124.3667
C3D4E5F6G8,23,7,45,160,53.0833 -129.6833
H7I8J9K0L4,32,8,234,356,52.8833 -129.6833
M3N4O5P6Q8,27,5,90,234,52.2167 -127.6667
R7S8T9U0V4,27,4,10,345,49.6167 -117.0167
W3X4Y5Z6A8,34,2,23,554,49.7500 -117.0000
B7C8D9E0F4,32,3,400,532,48.7833 -123.7667
G3H4I5J6K8,26,5,60,532,49.7500 -116.9333
L7M8N9O0P5,30,4,200,160,53.1667 -128.6167
Q3R4S5T6U8,23,1,300,356,58.5167 -122.8333
V7W8X9Y0Z5,32,2,80,234,58.5167 -122.8333
A4B5C6D7E8,27,3,67,345,54.2500 -130.5167
F7G8H9I0J5,27,10,90,554,54.0167 -129.8167
K4L5M6N7O8,34,14,100,532,54.2833 -129.9000
P7Q8R9S0T5,32,10,290,532,53.8833 -129.9333
U4V5W6X7Y8,26,7,233,332,53.9833 -129.8667
Z7A8B9C0D5,30,6,70,343,54.3333 -129.8667
E4F5G6H7I8,32,2,89,234,53.1333 -132.5000
J7K8L9M0N5,19,3,234,234,53.1333 -132.5000
O4P5Q6R7S8,23,2,234,124,54.0833 -132.5833
T7U8V9W0X5,34,4,90,455,57.5833 -124.5833
Y4Z5A6B7C8,34,3,50,332,51.5667 -127.9167
D7E8F9G0H5,35,2,78,451,55.7667 -128.0167
I4J5K6L7M8,23,7,100,123,50.7833 -120.4000
N7O8P9Q0R5,36,5,200,321,51.8167 -121.4333
S4T5U6V7W8,24,4,300,213,50.5667 -120.3667
X7Y8Z9A0B5,23,6,80,123,54.2167 -132.0167
C4D5E6F7G8,34,7,67,234,54.3667 -128.6167
H7I8J9K0L5,35,8,90,124,54.3000 -128.5000
M5N6O7P8Q9,16,5,100,455,50.9000 -128.3667
R0S1T2U3V4,34,4,89,234,52.9500 -129.2500
W5X6Y7Z8A9,34,2,234,100,49.4667 -124.2833
B0C1D2E3F4,35,3,234,200,48.6500 -123.4833
G5H6I7J8K9,23,10,90,340,56.9167 -130.0500
L0M1N2O3P4,36,14,50,450,51.5500 -128.1667
Q5R6S7T8U9,24,10,78,123,53.6167 -129.8167
V0W1X2Y3Z4,23,7,100,321,54.5000 -129.6000
A5B6C7D8E9,34,6,200,213,54.4167 -130.4167
F0G1H2I3J4,19,2,300,123,53.9500 -130.5500
K5L6M7N8O9,28,3,80,234,53.5167 -132.6667
P0Q1R2S3T4,32,2,67,100,51.6833 -125.3000
U5V6W7X8Y9,23,4,90,200,59.4333 -126.1000
Z0A1B2C3D4,32,3,100,340,59.4211 -126.1033
E5F6G7H8I9,27,2,67,234,50.2667 -124.8667
J0K1L2M3N4,27,7,90,100,56.6500 -132.3833
O5P6Q7R8S9,34,5,100,200,49.3500 -124.5167
T0U1V2W3X4,32,4,290,340,49.0833 -121.9333
Y5Z6A7B8C9,26,6,233,450,49.5167 -116.8667
D0E1F2G3H4,30,7,70,123,49.5333 -116.8833
I5J6K7L8M9,32,8,89,321,51.0167 -125.9667
N0O1P2Q3R4,19,5,234,213,54.5167 -128.4667
S5T6U7V8W9,23,9,234,123,53.6167 -128.6167
X0Y1Z2A3B4,34,2,90,234,49.5667 -122.4167
C5D6E7F8G9,34,7,50,100,50.0833 -125.3167
H0I1J2K3L4,35,5,78,200,53.9500 -129.8833
M5N6O7P8Q0,23,4,100,340,50.4167 -126.0500
R1S2T3U4V5,36,6,200,450,53.3667 -120.3833
W6X7Y8Z9A0,24,7,300,560,54.1667 -129.9167
B1C2D3E4F5,23,8,80,500,50.3833 -126.9333
G6H7I8J9K0,34,5,67,450,54.0667 -130.5333
L1M2N3O4P5,35,4,90,160,50.5167 -118.9167
Q6R7S8T9U0,16,2,100,356,51.0833 -126.6667
V1W2X3Y4Z5,10,2,68,234,53.2167 -122.4667
A6B7C8D9E0,30,3,78,345,49.2833 -124.6667
F1G2H3I4J5,25,10,100,554,49.3333 -119.6000
K6L7M8N9O0,18,14,200,532,52.4500 -128.3667
P1Q2R3S4T5,26,10,300,532,50.1833 -125.1333
U6V7W8X9Y0,24,7,80,234,50.0333 -124.8833
Z1A2B3C4D5,24,6,67,100,50.0167 -124.9833
E6F7G8H9I0,40,2,90,200,52.7500 -129.9500
J1K2L3M4N5,12,3,100,340,49.5833 -126.6167
O6P7Q8R9S0,32,2,102,450,50.6667 -119.0167
T1U2V3W4X5,40,4,78,123,50.6667 -119.0167
Y6Z7A8B9C0,32,3,200,321,50.6833 -119.0167
D1E2F3G4H5,23,2,300,213,50.8667 -121.6667
I6J7K8L9M0,32,7,80,123,51.1333 -122.3667
N1O2P3Q4R5,27,5,67,234,50.5333 -127.5667
S6T7U8V9W0,27,4,90,100,51.3333 -116.9667
X1Y2Z3A4B5,34,6,100,200,51.3667 -118.9500
C6D7E8F9G0,32,7,290,340,59.3333 -123.6667
H1I2J3K4L5,26,8,233,450,53.5000 -130.5000
M6N7O8P9Q0,30,5,70,560,50.5833 -120.4167
R1S2T3U4V5,32,4,89,500,49.9667 -117.0167
W6X7Y8Z9A0,19,2,234,450,50.3167 -120.3500
B1C2D3E4F5,23,3,234,160,49.6333 -126.5833
G6H7I8J9K0,34,5,90,356,50.1667 -122.0000
L1M2N3O4P5,34,4,50,234,48.6333 -123.6333
Q6R7S8T9U0,35,1,78,345,53.6667 -123.8667
V1W2X3Y4Z5,23,2,100,554,56.1167 -129.2833
A7B8C9D0E1,36,3,200,532,55.5833 -125.3167
F2G3H4I5J6,24,10,300,532,49.8333 -125.1167
K7L8M9N0O1,23,14,80,123,50.6333 -125.2833
P2Q3R4S5T6,34,10,67,234,49.9500 -125.0000
U7V8W9X0Y1,35,7,90,124,53.9167 -129.8167
Z2A3B4C5D6,16,6,100,455,55.7500 -122.4667
E7F8G9H0I1,34,2,90,234,52.5167 -128.5167
J2K3L4M5N6,19,3,50,124,51.6333 -126.3333
O7P8Q9R0S1,20,2,78,455,54.9667 -128.5167
T2U3V4W5X6,25,4,100,332,50.9333 -118.5333
Y7Z8A9B0C1,35,3,200,451,50.2000 -120.6833
D2E3F4G5H6,16,2,300,123,54.3833 -129.9667
I7J8K9L0M1,22,7,80,321,54.7000 -121.2833
N2O3P4Q5R6,25,5,67,213,48.8667 -123.3167
S7T8U9V0W1,24,4,90,123,50.6667 -119.9167
X2Y3Z4A5B6,36,6,100,234,50.5500 -119.9167
C7D8E9F0G1,34,7,233,124,52.4500 -128.7000
H2I3J4K5L6,45,8,70,455,52.6167 -122.5000
M7N8O9P0Q1,25,5,89,332,49.1333 -123.8667
R2S3T4U5V6,26,4,234,451,54.1500 -127.5000
W7X8Y9Z0A1,34,2,234,123,54.0167 -127.7167
B2C3D4E5F6,24,3,70,321,49.3833 -114.9167
G7H8I9J0K1,23,10,57,213,50.2000 -125.3333
L2M3N4O5P6,34,14,5,123,50.8833 -115.6333
Q7R8S9T0U1,32,10,6,234,56.6667 -126.5333
V2W3X4Y5Z6,32,7,25,345,50.3000 -122.6667
A8B9C0D1E2,23,6,30,102,57.7500 -130.6333
F3G4H5I6J7,32,2,70,435,50.9000 -127.2667
K8L9M0N1O2,27,3,23,100,49.4333 -123.5333
P3Q4R5S6T7,34,2,80,200,48.8667 -123.5167
U8V9W0X1Y2,19,4,100,340,49.5000 -115.0667
Z3A4B5C6D7,20,3,34,450,49.5500 -124.9667
E8F9G0H1I2,25,2,56,560,50.6667 -118.8167
J3K4L5M6N7,35,7,78,500,50.6667 -118.8000
O8P9Q0R1S2,16,5,30,450,48.8167 -123.5167
T3U4V5W6X7,22,4,200,160,48.8167 -123.5167
Y8Z9A0B1C2,25,6,34,345,56.2167 -132.3000
D3E4F5G6H7,24,7,50,554,54.4667 -124.4167
I8J9K0L1M2,36,8,78,532,49.4833 -123.6667
N3O4P5Q6R7,34,5,90,532,53.1000 -119.2333
S8T9U0V1W2,45,,100,234,50.8500 -120.2500
X3Y4Z5A6B7,25,2,101,124,50.5833 -120.6667
C8D9E0F1G2,26,3,107,455,49.3667 -122.9500
H3I4J5K6L7,34,10,89,332,52.9667 -119.2000
M8N9O0P1Q2,24,14,67,451,50.8833 -121.4000
R3S4T5U6V7,23,10,83,123,48.8167 -123.5167
W8X9Y0Z1A2,34,7,23,321,48.7833 -123.6333
B3C4D5E6F7,32,6,45,213,49.4500 -115.7500
G8H9I0J1K2,32,2,23,123,53.9500 -122.7333
L3M4N5O6P7,23,3,80,234,56.2000 -126.3333
Q8R9S0T1U2,32,2,100,124,58.9278 -125.7675
V3W4X5Y6Z7,27,4,34,455,50.0667 -127.5000
A9B0C1D2E3,27,3,56,332,49.6167 -123.1833
F4G5H6I7J8,34,2,78,451,57.0000 -125.0000
K9L0M1N2O3,32,7,30,123,49.8167 -119.3833
P4Q5R6S7T8,26,5,30,321,53.6667 -126.7000
U9V0W1X2Y3,34,4,233,213,49.9833 -121.6000
Z4A5B6C7D8,19,6,70,123,53.8000 -131.8333
E9F0G1H2I3,20,7,89,234,50.3167 -122.8000
J4K5L6M7N8,25,8,234,345,58.8333 -133.8333
O9P0Q1R2S3,35,5,234,102,58.6667 -133.8000
T4U5V6W7X8,16,4,70,435,56.2833 -125.1000
Y9Z0A1B2C3,22,2,57,100,51.8833 -127.9333
D4E5F6G7H8,25,3,5,234,51.9500 -127.9333
I9J0K1L2M3,24,5,6,124,49.2167 -117.7167
N4O5P6Q7R8,36,4,25,455,53.8667 -133.5000
S9T0U1V2W3,34,1,30,332,53.1500 -122.7500
X4Y5Z6A7B8,45,2,70,451,55.6833 -125.2167
C9D0E1F2G3,25,3,23,123,52.6167 -123.5333
H4I5J6K7L8,26,10,80,321,57.6667 -127.8000
M9N0O1P2Q3,34,14,100,213,53.6667 -125.1000
R4S5T6U7V8,24,10,34,123,54.1167 -124.3667
W9X0Y1Z2A3,23,7,56,234,51.0000 -127.6667
B4C5D6E7F8,34,6,78,124,54.0667 -127.7500
G9H0I1J2K3,32,2,30,455,55.3000 -126.7167
L4M5N6O7P8,32,3,200,332,49.4167 -119.7500
Q9R0S1T2U3,23,2,34,451,49.2833 -121.4667
V4W5X6Y7Z8,32,4,50,123,55.1667 -127.9833
A0B1C2D3E4,27,3,78,321,50.4167 -126.9667
F5G6H7I8J9,27,2,90,213,50.5833 -126.9833
K0L1M2N3O4,34,7,100,123,56.3667 -130.0167
P5Q6R7S8T9,32,5,101,234,56.3333 -130.0000
U0V1W2X3Y4,26,4,107,345,50.7833 -119.6333
Z5A6B7C8D9,30,6,89,102,48.7000 -124.6167
E0F1G2H3I4,32,7,67,435,48.7000 -124.6167
J5K6L7M8N9,34,8,83,100,50.3667 -122.9333
O0P1Q2R3S4,19,5,23,200,53.0500 -128.0500
T5U6V7W8X9,20,4,45,340,49.5000 -115.5000
Y0Z1A2B3C4,25,2,23,450,48.5167 -124.3833
D5E6F7G8H9,35,3,80,560,52.3667 -119.6167
I0J1K2L3M4,16,10,100,500,52.1167 -119.7167
N5O6P7Q8R9,22,14,34,450,52.1333 -119.7500
S0T1U2V3W4,25,10,56,160,52.0833 -119.8000
X5Y6Z7A8B9,24,7,78,200,52.0333 -119.9000
C0D1E2F3G4,36,6,30,340,57.7500 -124.8500
H5I6J7K8L9,34,2,30,450,49.7667 -126.9667
M0N1O2P3Q4,45,3,70,560,51.9167 -124.7000
R5S6T7U8V9,25,2,23,500,48.4333 -123.3000
W0X1Y2Z3A4,26,4,80,450,50.2167 -125.1167
B5C6D7E8F9,34,3,100,160,49.7333 -119.6333
G0H1I2J3K4,24,2,34,356,49.7500 -119.4500
L5M6N7O8P9,23,7,56,234,50.0667 -124.7667
Q0R1S2T3U4,34,5,78,345,49.2167 -119.5667
V5W6X7Y8Z9,32,4,30,554,52.1500 -128.3000
A1B2C3D4E5,32,6,200,532,56.1167 -125.6167
F6G7H8I9J0,23,7,34,532,55.7667 -120.0167
K1L2M3N4O5,32,8,50,332,57.1667 -127.5000
P6Q7R8S9T0,27,5,78,343,50.6667 -121.3667
U1V2W3X4Y5,27,10,30,234,56.0167 -124.1667
Z6A7B8C9D0,34,2,70,234,49.4333 -120.1833
E1F2G3H4I5,32,3,23,124,52.6667 -128.9167
J6K7L8M9N0,26,10,80,455,51.5333 -127.8333
O1P2Q3R4S5,30,14,100,332,52.0000 -127.3333
T6U7V8W9X0,32,10,34,451,50.9000 -127.7667
Y1Z2A3B4C5,34,7,56,123,54.5167 -125.8333
D6E7F8G9H0,19,6,233,321,50.9333 -121.5167
I1J2K3L4M5,20,2,70,213,50.5500 -127.9167
N6O7P8Q9R0,25,3,89,123,55.0833 -127.9333
S1T2U3V4W5,35,2,234,234,57.2167 -123.9667
X6Y7Z8A9B0,16,4,234,100,49.5167 -118.4500
C1D2E3F4G5,22,3,70,340,50.7500 -120.1167
H6I7J8K9L0,25,2,57,450,49.0000 -122.7500
M1N2O3P4Q5,24,7,5,560,56.1500 -121.1000
R6S7T8U9V0,36,5,6,500,49.9667 -120.0500
W1X2Y3Z4A5,34,4,25,450,49.9667 -120.0833
B6C7D8E9F0,45,6,30,160,52.2333 -128.3667
G1H2I3J4K5,25,7,70,356,52.3500 -128.4833
L6M7N8O9P0,26,8,23,234,49.1500 -123.9500
Q1R2S3T4U5,34,5,80,345,50.4333 -127.7167
V6W7X8Y9Z0,24,4,100,554,52.2167 -128.4000
A2B3C4D5E6,23,2,34,532,49.7167 -116.8667
F7G8H9I0J1,34,3,56,532,55.3333 -121.5667
K2L3M4N5O6,32,5,78,332,49.4667 -122.6333
P7Q8R9S0T1,32,4,30,343,57.0167 -122.6167
U2V3W4X5Y6,23,1,200,234,55.7167 -121.5333
Z7A8B9C0D1,32,2,34,234,52.9667 -122.5000
E2F3G4H5I6,27,3,50,124,49.0167 -123.7167
J7K8L9M0N1,27,10,78,455,57.0000 -127.1667
O2P3Q4R5S6,34,14,90,332,49.3667 -122.6833
T7U8V9W0X1,32,10,100,451,49.4500 -123.4833
Y2Z3A4B5C6,26,7,101,450,52.5667 -129.1000
D7E8F9G0H1,30,6,107,160,52.6667 -128.4667
I2J3K4L5M6,32,2,89,356,51.2833 -120.4333
N7O8P9Q0R1,19,3,67,234,49.5000 -123.7167
S2T3U4V5W6,20,2,83,345,58.0000 -123.7500
X7Y8Z9A0B1,25,4,23,554,49.5833 -123.2333
C2D3E4F5G6,35,3,45,532,53.0000 -129.2167
H7I8J9K0L1,16,2,23,532,50.3000 -127.3500
M2N3O4P5Q6,22,7,80,332,49.8667 -115.5333
R7S8T9U0V1,25,5,100,343,50.2000 -123.8333
W2X3Y4Z5A6,24,4,34,234,50.6167 -119.6000
B7C8D9E0F1,36,6,56,234,58.1333 -124.7500
G2H3I4J5K6,34,7,78,124,57.5667 -122.7667
L7M8N9O0P1,45,8,30,455,54.2333 -130.1333
Q2R3S4T5U6,25,5,30,332,59.0000 -126.8333
V7W8X9Y0Z1,26,4,233,451,50.8667 -119.7833
A3B4C5D6E7,34,2,70,123,53.2000 -123.0833
F8G9H0I1J2,24,3,89,321,52.6000 -128.9833
K3L4M5N6O7,23,10,234,213,50.7667 -116.2000
P8Q9R0S1T2,34,14,234,123,53.9167 -122.0667
U3V4W5X6Y7,32,10,70,234,54.0000 -132.0000
Z8A9B0C1D2,32,7,57,100,52.9000 -119.0000
E3F4G5H6I7,23,6,5,340,52.2667 -128.0167
J8K9L0M1N2,32,2,6,450,50.4833 -127.6167
O3P4Q5R6S7,27,3,25,560,53.2000 -132.0167
T8U9V0W1X2,27,2,30,500,52.6667 -121.6667
Y3Z4A5B6C7,34,4,70,450,50.4667 -123.3000
D8E9F0G1H2,34,3,23,160,50.6833 -126.6167
I3J4K5L6M7,19,2,80,356,48.3000 -123.5333
N8O9P0Q1R2,20,7,100,234,50.6167 -128.0000
S3T4U5V6W7,25,5,34,345,56.0333 -127.9500
X8Y9Z0A1B2,35,4,56,554,52.2000 -120.0667
C3D4E5F6G7,16,6,78,532,50.0333 -115.4667
H8I9J0K1L2,22,7,30,532,54.1333 -132.6167
M3N4O5P6Q7,25,8,200,332,49.3194 -124.2947
R8S9T0U1V2,24,5,34,340,50.2333 -125.1167
W3X4Y5Z6A7,36,5,50,450,52.9833 -119.4333
B8C9D0E1F2,34,1,78,560,50.1167 -125.2000
G3H4I5J6K7,45,12,90,500,53.0667 -122.5000
L8M9N0O1P2,25,7,100,450,53.7500 -122.0000
Q3R4S5T6U7,26,8,101,160,57.3333 -124.5000
V8W9X0Y1Z2,34,15,107,356,50.1833 -125.1333
A4B5C6D7E8,24,10,89,234,52.3000 -128.3333
F9G0H1I2J3,23,11,67,345,52.2667 -128.2667
K4L5M6N7O8,34,12,83,554,49.4167 -123.6167
P9Q0R1S2T3,32,4,23,532,49.1167 -123.8167
U4V5W6X7Y8,32,5,45,532,50.5167 -126.6167
Z9A0B1C2D3,23,6,23,332,50.5000 -120.1167
E4F5G6H7I8,32,7,80,343,50.2167 -125.6667
J9K0L1M2N3,27,9,100,234,55.8667 -120.1167
O4P5Q6R7S8,27,3,34,234,49.2167 -122.4000
T9U0V1W2X3,34,6,56,124,50.1333 -124.8167
Y4Z5A6B7C8,32,3,78,455,53.1000 -131.9500
D9E0F1G2H3,26,1,30,332,54.0167 -131.8333
I4J5K6L7M8,30,2,30,451,50.0000 -117.3667
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,